,volumes,Refinaria Clara Camarão,Refinaria Landulpho Alves,Refinaria Duque de Caxias,Refinaria Alberto Pasqualini ,Refinaria Gabriel Passos,Refinaria Isaac Sabbá,Refinaria Presidente Getúlio Vargas,Refinaria de Paulínia ,Refinaria Henrique Lage
0,Guarulhos - Governador André Franco Montoro,0.0,0.0,0.0,0,0.0,0,0.0,536154.2793,0
1,Presidente Juscelino Kubitschek,0.0,0.0,0.0,0,0.0,0,0.0,102162.0732,0
2,Tancredo Neves,0.0,0.0,0.0,0,11883.722099999999,0,0.0,0.0,0
3,Viracopos,0.0,0.0,0.0,0,0.0,0,0.0,122516.874,0
4,RIo de Janeiro/Galeão - Antônio Carlos Jobim,0.0,0.0,245218.0245,0,0.0,0,0.0,0.0,0
5,Guararapes - Gilberto Freyre Internacional,69521.1126,0.0,0.0,0,0.0,0,0.0,0.0,0
6,Deputado Luis Eduardo Magalhães-Intl,0.0,40185.5193,0.0,0,0.0,0,0.0,0.0,0
7,Salgado Filho,0.0,0.0,0.0,0,0.0,0,35791.417199999996,0.0,0
8,Hercílio Luz,0.0,0.0,0.0,0,0.0,0,10808.335500000001,0.0,0
9,Pinto Martins,44398.5222,0.0,0.0,0,0.0,0,0.0,0.0,0
10,Aeroporto Internacional Afonso Pena,0.0,0.0,0.0,0,0.0,0,1456.5368999999998,0.0,0
11,Presidente Castro Pinto,47.370599999999996,0.0,0.0,0,0.0,0,0.0,0.0,0
12,Marechal Rondon,0.0,0.0,0.0,0,0.0,0,0.0,470.1195,0
13,Santa Genoveva,0.0,0.0,0.0,0,0.0,0,0.0,17865.5895,0
14,Aeroporto Internacional do Rio Grande do Norte / São Gonçalo do Amarante - Governador Aluizio Alves,16.9512,0.0,0.0,0,0.0,0,0.0,0.0,0
15,Zumbi dos Palmares,0.0,2374.0002,0.0,0,0.0,0,0.0,0.0,0
16,Marechal Cunha Machado Internacional,9982.088099999999,0.0,0.0,0,0.0,0,0.0,0.0,0
17,Aeroporto Internacional de Parnaíba / Prefeito Doutor João Silva Filho,57.406499999999994,0.0,0.0,0,0.0,0,0.0,0.0,0
18,Santa Maria,0.0,6549.6663,0.0,0,0.0,0,0.0,0.0,0
19,Campo Grande Internacional,0.0,0.0,0.0,0,0.0,0,0.0,4.3347,0
20,Corumbá Internacional,0.0,0.0,0.0,0,0.0,0,0.0,173.2986,0
21,Eurico de Aguiar Salles,0.0,0.0,0.0,0,7545.256799999999,0,0.0,0.0,0
22,Cabo Frio,0.0,0.0,2491.6932,0,0.0,0,0.0,0.0,0
23,Cataratas,0.0,0.0,0.0,0,0.0,0,6051.9381,0.0,0
24,João Simões Lopes Neto,0.0,0.0,0.0,0,0.0,0,136.0194,0.0,0
25,Rubem Berta,0.0,0.0,0.0,0,0.0,0,107.39460000000001,0.0,0
26,Navegantes / Ministro Victor Konder - Internacional,0.0,0.0,0.0,0,0.0,0,4581.355799999999,0.0,0
27,Aeroporto Internacional de Ponta Porã,0.0,0.0,0.0,0,0.0,0,0.0,48.99569999999999,0
28,Aeroporto Internacional Senador Nilo Coelho,0.0,3169.4504999999995,0.0,0,0.0,0,0.0,0.0,0
