,SAF Production,eth market,Total Cost,Total Profit
0,0.0,40924830.6,230428722706.21576,130006578467.98587
1,0.0,40924830.6,230428722706.21576,130006578467.98587
2,0.0,40924830.6,230428722706.21576,130006578467.98587
3,0.0,40924830.6,230428722706.21576,130006578467.98587
4,0.0,40924830.6,230428722706.21576,130006578467.98587
5,0.0,40924830.6,230428722706.21576,130006578467.98587
6,0.0,40924830.6,230428722706.21576,130006578467.98587
7,0.0,40924830.6,230428722706.21576,130006578467.98587
8,0.0,40924830.6,230428722706.21576,130006578467.98587
9,0.0,40924830.6,230428722706.21576,130006578467.98587
10,0.0,40924830.6,230428722706.21576,130006578467.98587
11,0.0,40924830.6,230428722706.21576,130006578467.98587
12,0.0,40924830.6,230428722706.21576,130006578467.98587
13,0.0,40924830.6,230428722706.21576,130006578467.98587
14,0.0,40924830.6,230428722706.21576,130006578467.98587
15,0.0,40924830.6,230428722706.21576,130006578467.98587
16,0.0,40924830.6,230428722706.21576,130006578467.98587
17,0.0,40924830.6,230428722706.21576,130006578467.98587
18,0.0,40924830.6,230428722706.21576,130006578467.98587
19,0.0,40924830.6,230428722706.21576,130006578467.98587
20,0.0,40924830.6,230428722706.21576,130006578467.98587
21,0.0,40924830.6,230428722706.21576,130006578467.98587
22,0.0,40924830.6,230428722706.21576,130006578467.98587
23,0.0,40924830.6,230428722706.21576,130006578467.98587
24,0.0,40924830.6,230428722706.21576,130006578467.98587
25,0.0,40924830.6,230428722706.21576,130006578467.98587
26,15643340.721333336,2770341.035772358,312291675488.4526,130810109551.71298
27,16734761.802,108338.40000000001,318097668690.04443,132445423082.80194
28,16764374.298000004,36112.8,318313113218.193,134123452863.6437
29,16764374.297999999,36112.8,318251667411.4994,135800621184.9338
30,16764374.298,36112.8,318296289994.42456,137474309954.36032
31,16779180.546,0.0,318341776981.88947,139155179653.4779
32,16779180.546000004,0.0,318315583630.44366,140835992957.7302
33,16779180.546,0.0,318317878809.43054,142511615833.34326
34,16779180.545999996,0.0,318282251819.2489,144187003345.6556
35,16779180.545999996,0.0,318341591036.2189,145867703101.069
36,16779180.546,0.0,318340738099.8808,147544035538.72787
37,16779180.545999996,0.0,318361487710.35986,149213001114.2622
38,16779180.545999996,0.0,318352047456.78284,150902548249.19904
39,16779180.546,0.0,318318178536.2584,152578824434.11533
40,16779180.545999996,7.89901935527304e-10,318349388020.4719,154258628722.638
